7/11/2024 9:42,Start
7/11/2024 19:57,Stop
7/12/2024 12:51,Start
7/12/2024 14:05,Stop
7/12/2024 15:27,Start
7/13/2024 4:55,Stop
7/15/2024 11:22,Start
7/15/2024 16:31,Stop
7/17/2024 12:01,Start
7/17/2024 12:14,Stop
7/17/2024 12:14,Start
7/17/2024 20:44,Stop
7/22/2024 10:14,Start
7/22/2024 14:23,Stop
7/22/2024 15:06,Start
7/22/2024 20:20,Stop
7/24/2024 13:09,Start
7/24/2024 14:22,Stop
7/25/2024 9:42,Start
7/25/2024 10:07,Stop
7/25/2024 11:25,Start
7/25/2024 18:12,Stop
7/29/2024 12:04,Start
7/29/2024 12:09,Stop
7/29/2024 12:12,Start
7/29/2024 12:45,Stop
7/29/2024 12:51,Start
7/29/2024 15:06,Stop
