ts,value
2024-07-16 09:24:16.815000057,0
2024-07-16 09:19:16.801000118,0
2024-07-16 09:14:16.796999931,0
2024-07-16 09:09:16.792000055,0
2024-07-16 09:04:16.779000044,0
2024-07-16 08:59:16.773999929,0
2024-07-16 08:54:16.770999908,0
2024-07-16 08:49:16.765000105,0
2024-07-16 08:44:16.752000093,0
2024-07-16 08:39:16.746000051,0
2024-07-16 08:34:16.743000031,0
2024-07-16 08:29:16.727999926,0
2024-07-16 08:24:16.723000050,0
2024-07-16 08:19:16.719000101,0
2024-07-16 08:14:16.713999987,0
2024-07-16 08:09:16.709000111,0
2024-07-16 08:04:16.694999933,0
2024-07-16 07:59:16.690000057,0
2024-07-16 07:54:16.686000109,0
2024-07-16 07:49:16.681999922,0
2024-07-16 07:44:16.668999910,0
2024-07-16 07:39:16.687999964,0
2024-07-16 07:34:16.651999950,0
2024-07-16 07:29:16.645999908,0
2024-07-16 07:24:16.641999960,0
2024-07-16 07:19:16.637000084,0
2024-07-16 07:14:16.624000072,0
2024-07-16 07:09:16.619999886,0
2024-07-16 07:04:16.615000010,0
2024-07-16 06:59:16.611999989,0
2024-07-16 06:54:16.598999977,0
2024-07-16 06:49:16.594000101,0
2024-07-16 06:44:16.586999893,0
2024-07-16 06:39:16.582999945,0
2024-07-16 06:34:16.608000040,0
2024-07-16 06:29:16.572999954,0
2024-07-16 06:24:16.568000078,0
2024-07-16 06:19:16.562999964,0
2024-07-16 06:14:16.558000088,0
2024-07-16 06:09:16.552999973,0
2024-07-16 06:04:16.548000097,0
2024-07-16 05:59:16.555999994,0
2024-07-16 05:54:16.539000034,0
2024-07-16 05:49:16.535000086,0
2024-07-16 05:44:16.530999899,0
2024-07-16 05:39:16.526000023,0
2024-07-16 05:34:16.513000011,0
2024-07-16 05:29:16.499000072,0
2024-07-16 05:24:16.515000105,0
2024-07-16 05:19:16.490000010,0
2024-07-16 05:14:16.484999895,0
2024-07-16 05:09:16.473999977,0
2024-07-16 05:04:16.464999914,0
2024-07-16 04:59:16.456000090,0
2024-07-16 04:54:16.454999924,0
2024-07-16 04:49:16.440999985,0
2024-07-16 04:44:16.427999973,0
2024-07-16 04:39:16.423000097,0
2024-07-16 04:34:16.410000086,0
2024-07-16 04:29:16.397000074,0
2024-07-16 04:24:16.391999960,0
2024-07-16 04:19:16.391000032,0
2024-07-16 04:14:16.372999907,0
2024-07-16 04:09:16.368999958,0
2024-07-16 04:04:16.364000082,0
2024-07-16 03:59:16.358999968,0
2024-07-16 03:54:16.352999926,0
2024-07-16 03:49:16.348999977,0
2024-07-16 03:44:16.335999966,0
2024-07-16 03:39:16.332000017,0
2024-07-16 03:34:16.325999975,0
2024-07-16 03:29:16.312999964,0
2024-07-16 03:24:16.309000015,0
2024-07-16 03:19:16.305000067,0
2024-07-16 03:14:16.301000118,0
2024-07-16 03:09:16.286999941,0
2024-07-16 03:04:16.283999920,0
2024-07-16 02:59:16.276999950,0
2024-07-16 02:54:16.272000074,0
2024-07-16 02:49:16.259000063,0
2024-07-16 02:44:16.253999949,0
2024-07-16 02:39:16.250000000,0
2024-07-16 02:34:16.243999958,0
2024-07-16 02:29:16.242000103,0
2024-07-16 02:24:16.234999895,0
2024-07-16 02:19:16.230000019,0
2024-07-16 02:14:16.217000008,0
2024-07-16 02:09:16.210999966,0
2024-07-16 02:04:16.207000017,0
2024-07-16 01:59:16.198999882,0
2024-07-16 01:54:16.190000057,0
2024-07-16 01:49:16.186000109,0
2024-07-16 01:44:16.173000097,0
2024-07-16 01:39:16.184000015,0
2024-07-16 01:34:16.164000034,0
2024-07-16 01:29:16.157000065,0
2024-07-16 01:24:16.144999981,0
2024-07-16 01:19:16.141999960,0
2024-07-16 01:14:16.134000063,0
2024-07-16 01:09:16.128000020,0
2024-07-16 01:04:16.122999907,0
2024-07-16 00:59:16.109999895,0
2024-07-16 00:54:16.098999977,0
2024-07-16 00:49:16.095000029,0
2024-07-16 00:44:16.082999945,0
2024-07-16 00:39:16.075999975,0
2024-07-16 00:34:16.086999893,0
2024-07-16 00:29:16.065999985,0
2024-07-16 00:24:16.061000109,0
2024-07-16 00:19:16.048000097,0
2024-07-16 00:14:16.042999983,0
2024-07-16 00:09:16.029000044,0
2024-07-16 00:04:16.025000095,0
2024-07-15 23:59:16.012000084,0
2024-07-15 23:54:16.009000063,0
2024-07-15 23:49:16.003000021,0
2024-07-15 23:44:15.990999937,0
2024-07-15 23:39:15.986000061,0
2024-07-15 23:34:15.982000113,0
2024-07-15 23:29:15.976999998,0
2024-07-15 23:24:15.973000050,0
2024-07-15 23:19:15.967000008,0
2024-07-15 23:14:15.961999893,0
2024-07-15 23:09:15.957999945,0
2024-07-15 23:04:15.950999975,0
2024-07-15 22:59:15.946000099,0
