ts,value
2024-07-29 16:29:43.967000008,0
2024-07-29 16:24:43.960999966,0
2024-07-29 16:19:43.953999996,1
2024-07-29 16:14:43.944000006,0
2024-07-29 16:09:43.934000015,0
2024-07-29 16:04:43.927999973,0
2024-07-29 15:59:43.921999931,0
2024-07-29 15:54:43.914000034,0
2024-07-29 15:49:43.907000065,1
2024-07-29 15:44:43.895999908,0
2024-07-29 15:39:43.888999939,0
2024-07-29 15:34:43.881000042,0
2024-07-29 15:29:43.869999886,0
2024-07-29 15:24:43.865999937,0
2024-07-29 15:19:43.858000040,0
2024-07-29 15:14:43.848999977,1
2024-07-29 15:09:43.836999893,1
2024-07-29 15:04:43.828999996,0
2024-07-29 14:59:43.826999903,1
2024-07-29 14:54:43.821000099,1
2024-07-29 14:49:43.808000088,0
2024-07-29 14:44:43.802000046,0
2024-07-29 14:39:43.796000004,1
2024-07-29 14:34:43.790999889,1
2024-07-29 14:29:43.782000065,1
2024-07-29 14:24:43.776000023,0
2024-07-29 14:19:43.767999887,1
2024-07-29 14:14:43.759999990,1
2024-07-29 14:09:43.747999907,1
2024-07-29 14:04:43.737999916,1
2024-07-29 13:59:43.727999926,1
2024-07-29 13:54:43.720999956,1
2024-07-29 13:49:43.710999966,1
2024-07-29 13:44:43.701999903,1
2024-07-29 13:39:43.693000078,1
2024-07-29 13:34:43.686000109,1
2024-07-29 13:29:43.680999994,1
2024-07-29 13:24:43.671000004,1
2024-07-29 13:19:43.664000034,1
2024-07-29 13:14:43.657999992,1
2024-07-29 13:09:43.644999981,1
2024-07-29 13:04:43.634999990,1
2024-07-29 12:59:43.628000021,1
2024-07-29 12:54:43.619999886,0
2024-07-29 12:49:43.615000010,0
2024-07-29 12:44:43.605999947,1
2024-07-29 12:39:43.592999935,1
2024-07-29 12:34:43.585999966,1
2024-07-29 12:29:43.572000027,1
2024-07-29 12:24:43.565000057,1
2024-07-29 12:19:43.558000088,1
2024-07-29 12:14:43.555000067,0
2024-07-29 12:09:43.536999941,0
2024-07-29 12:04:43.532999992,0
2024-07-29 11:59:43.526000023,0
2024-07-29 11:54:43.519999981,0
2024-07-29 11:49:43.516000032,0
2024-07-29 11:44:43.510999918,0
2024-07-29 11:39:43.497999907,0
2024-07-29 11:34:43.493000031,0
2024-07-29 11:29:43.487999916,0
2024-07-29 11:24:43.480999947,0
2024-07-29 11:19:43.473999977,0
2024-07-29 11:14:43.466000080,0
2024-07-29 11:09:43.460999966,0
2024-07-29 11:04:43.453999996,0
2024-07-29 10:59:43.444999933,0
2024-07-29 10:54:43.437999964,0
2024-07-29 10:49:43.433000088,0
2024-07-29 10:44:43.418999910,0
2024-07-29 10:39:43.413000107,0
2024-07-29 10:34:43.407000065,0
2024-07-29 10:29:43.407000065,0
2024-07-29 10:24:43.388999939,0
2024-07-29 10:19:43.382999897,0
2024-07-29 10:14:43.375000000,0
2024-07-29 10:09:43.371000051,0
2024-07-29 10:04:43.362999916,0
2024-07-29 09:59:43.348999977,0
2024-07-29 09:54:43.338999987,0
2024-07-29 09:49:43.329999924,0
2024-07-29 09:44:43.323999882,0
2024-07-29 09:39:43.316999912,0
2024-07-29 09:34:43.308000088,0
2024-07-29 09:29:43.302999973,0
2024-07-29 09:24:43.293999910,0
2024-07-29 09:19:43.286999941,0
2024-07-29 09:14:43.282000065,0
2024-07-29 09:09:43.273000002,0
2024-07-29 09:04:43.269000053,0
2024-07-29 08:59:43.263000010,0
2024-07-29 08:54:43.256000041,0
2024-07-29 08:49:43.247999907,0
2024-07-29 08:44:43.240999937,0
2024-07-29 08:39:43.232000113,0
2024-07-29 08:34:43.223999977,0
2024-07-29 08:29:43.213000059,0
2024-07-29 08:24:43.206000090,0
2024-07-29 08:19:43.200000048,0
2024-07-29 08:14:43.190999985,0
2024-07-29 08:09:43.184999943,0
2024-07-29 08:04:43.178999901,0
2024-07-29 07:59:43.171000004,0
2024-07-29 07:54:43.164000034,0
2024-07-29 07:49:43.157000065,0
2024-07-29 07:44:43.154000044,0
2024-07-29 07:39:43.144999981,0
2024-07-29 07:34:43.135999918,0
2024-07-29 07:29:43.128000020,0
2024-07-29 07:24:43.121999979,0
2024-07-29 07:19:43.117000103,0
2024-07-29 07:14:43.108000040,0
2024-07-29 07:09:43.099999905,0
2024-07-29 07:04:43.095000029,0
2024-07-29 06:59:43.086999893,0
2024-07-29 06:54:43.075999975,0
2024-07-29 06:49:43.071000099,0
2024-07-29 06:44:43.063999891,0
2024-07-29 06:39:43.062000036,0
2024-07-29 06:34:43.049000025,0
2024-07-29 06:29:43.053999901,0
2024-07-29 06:24:43.030999899,0
2024-07-29 06:19:43.022000074,0
2024-07-29 06:14:43.023000002,0
2024-07-29 06:09:43.010999918,0
2024-07-29 06:04:43.005000114,0
2024-07-29 05:59:42.996000051,0
2024-07-29 05:54:42.989000082,0
2024-07-29 05:49:42.983000040,0
2024-07-29 05:44:42.974999905,0
2024-07-29 05:39:42.969000101,0
2024-07-29 05:34:42.961999893,0
2024-07-29 05:29:42.953000069,0
2024-07-29 05:24:42.937999964,0
2024-07-29 05:19:42.933000088,0
2024-07-29 05:14:42.923000097,0
2024-07-29 05:09:42.917000055,0
2024-07-29 05:04:42.908999920,0
2024-07-29 04:59:42.904000044,0
2024-07-29 04:54:42.898999929,0
2024-07-29 04:49:42.884999990,0
2024-07-29 04:44:42.871999979,0
2024-07-29 04:39:42.865000010,0
2024-07-29 04:34:42.859999895,0
2024-07-29 04:29:42.851999998,0
2024-07-29 04:24:42.838000059,0
2024-07-29 04:19:42.832000017,0
2024-07-29 04:14:42.825999975,0
2024-07-29 04:09:42.819000006,0
2024-07-29 04:04:42.809999943,0
2024-07-29 03:59:42.802999973,0
2024-07-29 03:54:42.793999910,0
2024-07-29 03:49:42.785000086,0
2024-07-29 03:44:42.779999971,0
2024-07-29 03:39:42.769000053,0
2024-07-29 03:34:42.763000011,0
2024-07-29 03:29:42.757999897,0
2024-07-29 03:24:42.746999979,0
2024-07-29 03:19:42.742000103,0
2024-07-29 03:14:42.733000040,0
2024-07-29 03:09:42.723000050,0
2024-07-29 03:04:42.719000101,0
