ts,value
2024-07-19 20:44:23.631999969,0
2024-07-19 20:39:23.625999928,0
2024-07-19 20:34:23.619999886,0
2024-07-19 20:29:23.618000031,0
2024-07-19 20:24:23.601999998,0
2024-07-19 20:19:23.598000050,0
2024-07-19 20:14:23.592999935,0
2024-07-19 20:09:23.588999987,0
2024-07-19 20:04:23.582999945,0
2024-07-19 19:59:23.578999996,0
2024-07-19 19:54:23.572000027,0
2024-07-19 19:49:23.566999912,0
2024-07-19 19:44:23.562999964,0
2024-07-19 19:39:23.556999922,0
2024-07-19 19:34:23.545000076,0
2024-07-19 19:29:23.530999899,0
2024-07-19 19:24:23.526000023,0
2024-07-19 19:19:23.520999907,0
2024-07-19 19:14:23.516000032,0
2024-07-19 19:09:23.509999989,0
2024-07-19 19:04:23.497999907,0
2024-07-19 18:59:23.493999958,0
2024-07-19 18:54:23.487999916,0
2024-07-19 18:49:23.483000040,0
2024-07-19 18:44:23.479000092,0
2024-07-19 18:39:23.466000080,0
2024-07-19 18:34:23.460999966,0
2024-07-19 18:29:23.456000090,0
2024-07-19 18:24:23.444000006,0
2024-07-19 18:19:23.438999891,0
2024-07-19 18:14:23.434999943,0
2024-07-19 18:09:23.430000067,0
2024-07-19 18:04:23.426000118,0
2024-07-19 17:59:23.411999941,0
2024-07-19 17:54:23.407999992,0
2024-07-19 17:49:23.404000044,0
2024-07-19 17:44:23.397000074,0
2024-07-19 17:39:23.384000063,0
2024-07-19 17:34:23.378999949,0
2024-07-19 17:29:23.374000072,0
2024-07-19 17:24:23.368000031,0
2024-07-19 17:19:23.364000082,0
2024-07-19 17:14:23.358000040,0
2024-07-19 17:09:23.344000101,0
2024-07-19 17:04:23.338999987,0
2024-07-19 16:59:23.334000111,0
2024-07-19 16:54:23.328999996,0
2024-07-19 16:49:23.323999882,0
2024-07-19 16:44:23.319000006,0
2024-07-19 16:39:23.313999891,0
2024-07-19 16:34:23.309000015,0
2024-07-19 16:29:23.305000067,0
2024-07-19 16:24:23.299999952,0
2024-07-19 16:19:23.296000004,0
2024-07-19 16:14:23.290999889,0
2024-07-19 16:09:23.286000013,0
2024-07-19 16:04:23.280999899,0
2024-07-19 15:59:23.276000023,0
2024-07-19 15:54:23.272000074,0
2024-07-19 15:49:23.289999962,0
2024-07-19 15:44:23.253999949,0
2024-07-19 15:39:23.240999937,0
2024-07-19 15:34:23.240999937,0
2024-07-19 15:29:23.242000103,0
2024-07-19 15:24:23.219000101,0
2024-07-19 15:19:23.213000059,0
2024-07-19 15:14:23.209000111,0
2024-07-19 15:09:23.203999996,0
2024-07-19 15:04:23.200000048,0
2024-07-19 14:59:23.200999975,0
2024-07-19 14:54:23.184999943,0
2024-07-19 14:49:23.180999994,0
2024-07-19 14:44:23.176000118,0
2024-07-19 14:39:23.170000076,0
2024-07-19 14:34:23.164999962,0
2024-07-19 14:29:23.160000086,0
2024-07-19 14:24:23.153000116,0
2024-07-19 14:19:23.147000074,0
2024-07-19 14:14:23.135999918,0
2024-07-19 14:09:23.130000114,0
2024-07-19 14:04:23.117000103,0
2024-07-19 13:59:23.111999989,0
2024-07-19 13:54:23.098000050,0
2024-07-19 13:49:23.085000038,0
2024-07-19 13:44:23.071000099,0
2024-07-19 13:39:23.066999911,0
2024-07-19 13:34:23.061000109,0
2024-07-19 13:29:23.055999994,0
2024-07-19 13:24:23.051000118,0
2024-07-19 13:19:23.043999910,0
2024-07-19 13:14:23.032000065,0
2024-07-19 13:09:23.022000074,0
2024-07-19 13:04:23.009000063,0
2024-07-19 12:59:23.069999933,0
2024-07-19 12:54:23.062000036,0
2024-07-19 12:49:22.974999905,0
2024-07-19 12:44:22.963000059,0
