ts,value
2024-07-21 00:29:25.720000029,0
2024-07-21 00:24:25.716000080,0
2024-07-21 00:19:25.709000111,0
2024-07-21 00:14:25.713000059,0
2024-07-21 00:09:25.700000048,0
2024-07-21 00:04:25.694000006,0
2024-07-20 23:59:25.690000057,0
2024-07-20 23:54:25.684999943,0
2024-07-20 23:49:25.680999994,0
2024-07-20 23:44:25.676000118,0
2024-07-20 23:39:25.670000076,0
2024-07-20 23:34:25.657000065,0
2024-07-20 23:29:25.651999950,0
2024-07-20 23:24:25.647000074,0
2024-07-20 23:19:25.641000032,0
2024-07-20 23:14:25.631000042,0
2024-07-20 23:09:25.622999907,0
2024-07-20 23:04:25.628999949,0
2024-07-20 22:59:25.611999989,0
2024-07-20 22:54:25.607000113,0
2024-07-20 22:49:25.592999935,0
2024-07-20 22:44:25.588999987,0
2024-07-20 22:39:25.588999987,0
2024-07-20 22:34:25.579999924,0
2024-07-20 22:29:25.575000048,0
2024-07-20 22:24:25.571000099,0
2024-07-20 22:19:25.565000057,0
2024-07-20 22:14:25.561000109,0
2024-07-20 22:09:25.548000097,0
2024-07-20 22:04:25.540999889,0
2024-07-20 21:59:25.536999941,0
2024-07-20 21:54:25.523999929,0
2024-07-20 21:49:25.519999981,0
2024-07-20 21:44:25.513999938,0
2024-07-20 21:39:25.509000063,0
2024-07-20 21:34:25.496999979,0
2024-07-20 21:29:25.490999937,0
2024-07-20 21:24:25.486999989,0
2024-07-20 21:19:25.473999977,0
2024-07-20 21:14:25.484999895,0
2024-07-20 21:09:25.466000080,0
2024-07-20 21:04:25.460000038,0
2024-07-20 20:59:25.453999996,0
2024-07-20 20:54:25.450999975,0
2024-07-20 20:49:25.444000006,0
2024-07-20 20:44:25.438999891,0
2024-07-20 20:39:25.433000088,0
2024-07-20 20:34:25.427999973,0
2024-07-20 20:29:25.423000097,0
2024-07-20 20:24:25.417999983,0
2024-07-20 20:19:25.411000013,0
2024-07-20 20:14:25.407000065,0
2024-07-20 20:09:25.392999887,0
2024-07-20 20:04:25.388000011,0
2024-07-20 19:59:25.382999897,0
2024-07-20 19:54:25.377000093,0
2024-07-20 19:49:25.371999979,0
2024-07-20 19:44:25.367000103,0
2024-07-20 19:39:25.361999989,0
2024-07-20 19:34:25.357000113,0
2024-07-20 19:29:25.352999926,0
2024-07-20 19:24:25.348999977,0
2024-07-20 19:19:25.342999935,0
2024-07-20 19:14:25.338000059,0
2024-07-20 19:09:25.335999966,0
2024-07-20 19:04:25.328000069,0
2024-07-20 18:59:25.315000057,0
2024-07-20 18:54:25.311000109,0
2024-07-20 18:49:25.306999922,0
2024-07-20 18:44:25.301000118,0
2024-07-20 18:39:25.296999931,0
2024-07-20 18:34:25.292999983,0
2024-07-20 18:29:25.286000013,0
2024-07-20 18:24:25.273000002,0
2024-07-20 18:19:25.259999990,0
2024-07-20 18:14:25.255000114,0
2024-07-20 18:09:25.249000072,0
2024-07-20 18:04:25.244999886,0
2024-07-20 17:59:25.230999947,0
2024-07-20 17:54:25.226999998,0
2024-07-20 17:49:25.221999884,0
2024-07-20 17:44:25.207999945,0
2024-07-20 17:39:25.197000027,0
2024-07-20 17:34:25.190999985,0
2024-07-20 17:29:25.186000109,0
2024-07-20 17:24:25.181999922,0
2024-07-20 17:19:25.177999973,0
2024-07-20 17:14:25.165999889,0
2024-07-20 17:09:25.160000086,0
2024-07-20 17:04:25.155999899,0
2024-07-20 16:59:25.142999887,0
2024-07-20 16:54:25.138000011,0
2024-07-20 16:49:25.131999969,0
2024-07-20 16:44:25.125999928,0
2024-07-20 16:39:25.121999979,0
2024-07-20 16:34:25.108999968,0
2024-07-20 16:29:25.102999926,0
2024-07-20 16:24:25.096999884,0
2024-07-20 16:19:25.084000111,0
2024-07-20 16:14:25.079999924,0
2024-07-20 16:09:25.068000078,0
2024-07-20 16:04:25.062999964,0
2024-07-20 15:59:25.058000088,0
2024-07-20 15:54:25.052999973,0
2024-07-20 15:49:25.049999952,0
2024-07-20 15:44:25.045000076,0
2024-07-20 15:39:25.040999889,0
2024-07-20 15:34:25.035000086,0
2024-07-20 15:29:25.023999929,0
2024-07-20 15:24:25.019999981,0
2024-07-20 15:19:25.015000105,0
2024-07-20 15:14:25.009000063,0
2024-07-20 15:09:24.996000051,0
2024-07-20 15:04:24.990999937,0
2024-07-20 14:59:24.977999926,0
2024-07-20 14:54:24.969000101,0
2024-07-20 14:49:24.953000069,0
2024-07-20 14:44:24.944000006,0
2024-07-20 14:39:24.937000036,0
2024-07-20 14:34:24.931999922,0
2024-07-20 14:29:24.927000046,0
2024-07-20 14:24:24.921999931,0
2024-07-20 14:19:24.918999910,0
2024-07-20 14:14:24.911000013,0
2024-07-20 14:09:24.898000002,0
2024-07-20 14:04:24.892999887,0
2024-07-20 13:59:24.888999939,0
2024-07-20 13:54:24.884000063,0
2024-07-20 13:49:24.878999949,0
2024-07-20 13:44:24.874000072,0
2024-07-20 13:39:24.868999958,0
2024-07-20 13:34:24.862999916,0
2024-07-20 13:29:24.851000071,0
2024-07-20 13:24:24.846999884,0
2024-07-20 13:19:24.841000080,0
2024-07-20 13:14:24.836999893,0
2024-07-20 13:09:24.832000017,0
2024-07-20 13:04:24.826999903,0
2024-07-20 12:59:24.822000027,0
2024-07-20 12:54:24.809000015,0
2024-07-20 12:49:24.805000067,0
2024-07-20 12:44:24.790999889,0
2024-07-20 12:39:24.785000086,0
2024-07-20 12:34:24.779999971,0
2024-07-20 12:29:24.775000095,0
2024-07-20 12:24:24.769999981,0
2024-07-20 12:19:24.765000105,0
2024-07-20 12:14:24.759000063,0
2024-07-20 12:09:24.753999949,0
2024-07-20 12:04:24.749000072,0
2024-07-20 11:59:24.743000031,0
2024-07-20 11:54:24.785000086,0
2024-07-20 11:49:24.733999968,0
2024-07-20 11:44:24.730000019,0
2024-07-20 11:39:24.724999905,0
2024-07-20 11:34:24.720000029,0
2024-07-20 11:29:24.716000080,0
2024-07-20 11:24:24.710999966,0
2024-07-20 11:19:24.706000090,0
2024-07-20 11:14:24.701999903,0
2024-07-20 11:09:24.697000027,0
2024-07-20 11:04:24.691999912,0
2024-07-20 10:59:24.687000036,0
2024-07-20 10:54:24.681999922,0
2024-07-20 10:49:24.677000046,0
2024-07-20 10:44:24.671999931,0
2024-07-20 10:39:24.665999889,0
2024-07-20 10:34:24.661999941,0
2024-07-20 10:29:24.648999929,0
2024-07-20 10:24:24.642999887,0
2024-07-20 10:19:24.637000084,0
2024-07-20 10:14:24.632999897,0
2024-07-20 10:09:24.628999949,0
2024-07-20 10:04:24.622999907,0
2024-07-20 09:59:24.618000031,0
2024-07-20 09:54:24.605000019,0
2024-07-20 09:49:24.599999905,0
2024-07-20 09:44:24.594000101,0
2024-07-20 09:39:24.591000080,0
2024-07-20 09:34:24.585000038,0
2024-07-20 09:29:24.578999996,0
2024-07-20 09:24:24.575000048,0
2024-07-20 09:19:24.569999933,0
2024-07-20 09:14:24.558000088,0
2024-07-20 09:09:24.548000097,0
2024-07-20 09:04:24.539000034,0
2024-07-20 08:59:24.533999919,0
2024-07-20 08:54:24.532999992,0
2024-07-20 08:49:24.525000095,0
2024-07-20 08:44:24.519999981,0
2024-07-20 08:39:24.519999981,0
2024-07-20 08:34:24.510999918,0
2024-07-20 08:29:24.510999918,0
2024-07-20 08:24:24.493999958,0
2024-07-20 08:19:24.493999958,0
2024-07-20 08:14:24.484999895,0
2024-07-20 08:09:24.471999884,0
2024-07-20 08:04:24.457999945,0
2024-07-20 07:59:24.453000069,0
2024-07-20 07:54:24.440000057,0
2024-07-20 07:49:24.434000015,0
2024-07-20 07:44:24.430000067,0
2024-07-20 07:39:24.424000025,0
2024-07-20 07:34:24.421000004,0
2024-07-20 07:29:24.415999889,0
2024-07-20 07:24:24.411999941,0
2024-07-20 07:19:24.398999929,0
2024-07-20 07:14:24.391999960,0
2024-07-20 07:09:24.387000084,0
2024-07-20 07:04:24.381000042,0
2024-07-20 06:59:24.369999886,0
2024-07-20 06:54:24.365000010,0
2024-07-20 06:49:24.352999926,0
2024-07-20 06:44:24.348000050,0
2024-07-20 06:39:24.344000101,0
2024-07-20 06:34:24.338999987,0
2024-07-20 06:29:24.335000038,0
2024-07-20 06:24:24.328999996,0
2024-07-20 06:19:24.322999954,0
2024-07-20 06:14:24.318000078,0
2024-07-20 06:09:24.312999964,0
2024-07-20 06:04:24.309000015,0
2024-07-20 05:59:24.302999973,0
2024-07-20 05:54:24.299999952,0
2024-07-20 05:49:24.295000076,0
2024-07-20 05:44:24.289999962,0
2024-07-20 05:39:24.286000013,0
2024-07-20 05:34:24.279000044,0
2024-07-20 05:29:24.273999929,0
2024-07-20 05:24:24.267999887,0
2024-07-20 05:19:24.263999939,0
2024-07-20 05:14:24.259000063,0
2024-07-20 05:09:24.256999969,0
2024-07-20 05:04:24.249000072,0
2024-07-20 04:59:24.243999958,0
2024-07-20 04:54:24.239000082,0
2024-07-20 04:49:24.236000061,0
2024-07-20 04:44:24.229000092,0
2024-07-20 04:39:24.223999977,0
2024-07-20 04:34:24.210999966,0
2024-07-20 04:29:24.204999924,0
2024-07-20 04:24:24.200000048,0
2024-07-20 04:19:24.187000036,0
2024-07-20 04:14:24.180999994,0
2024-07-20 04:09:24.176000118,0
2024-07-20 04:04:24.173000097,0
2024-07-20 03:59:24.165999889,0
2024-07-20 03:54:24.160000086,0
2024-07-20 03:49:24.155999899,0
2024-07-20 03:44:24.151000023,0
2024-07-20 03:39:24.144999981,0
2024-07-20 03:34:24.138999939,0
2024-07-20 03:29:24.134000063,0
2024-07-20 03:24:24.128000020,0
2024-07-20 03:19:24.124000072,0
2024-07-20 03:14:24.119999886,0
2024-07-20 03:09:24.114000082,0
2024-07-20 03:04:24.107000113,0
2024-07-20 02:59:24.101999998,0
2024-07-20 02:54:24.096999884,0
2024-07-20 02:49:24.094000101,0
2024-07-20 02:44:24.088000059,0
2024-07-20 02:39:24.085000038,0
2024-07-20 02:34:24.078999996,0
2024-07-20 02:29:24.073999882,0
2024-07-20 02:24:24.069000006,0
2024-07-20 02:19:24.062999964,0
2024-07-20 02:14:24.058000088,0
2024-07-20 02:09:24.052999973,0
2024-07-20 02:04:24.039000034,0
2024-07-20 01:59:24.035000086,0
2024-07-20 01:54:24.029999971,0
2024-07-20 01:49:24.026000023,0
2024-07-20 01:44:24.020999908,0
2024-07-20 01:39:24.016000032,0
2024-07-20 01:34:24.010999918,0
2024-07-20 01:29:24.005000114,0
2024-07-20 01:24:24.000999928,0
2024-07-20 01:19:23.996000051,0
2024-07-20 01:14:23.990999937,0
2024-07-20 01:09:23.984999895,0
2024-07-20 01:04:23.980000019,0
2024-07-20 00:59:23.973999977,0
2024-07-20 00:54:23.963000059,0
2024-07-20 00:49:23.950000048,0
2024-07-20 00:44:23.946000099,0
2024-07-20 00:39:23.931999922,0
2024-07-20 00:34:23.920000076,0
2024-07-20 00:29:23.914000034,0
2024-07-20 00:24:23.908999920,0
2024-07-20 00:19:23.904000044,0
2024-07-20 00:14:23.898000002,0
2024-07-20 00:09:23.892999887,0
2024-07-20 00:04:23.887000084,0
