ts,value
2024-07-12 22:04:09.907999992,1
2024-07-12 21:59:09.904000044,1
2024-07-12 21:54:09.898000002,1
2024-07-12 21:49:09.892999887,1
2024-07-12 21:44:09.878999949,1
2024-07-12 21:39:09.874000072,1
2024-07-12 21:34:09.868999958,1
2024-07-12 21:29:09.862999916,1
2024-07-12 21:24:09.851000071,1
2024-07-12 21:19:09.845000029,1
2024-07-12 21:14:09.841000080,0
2024-07-12 21:09:09.835999966,1
2024-07-12 21:04:09.825000048,1
2024-07-12 20:59:09.811000109,1
2024-07-12 20:54:09.806999922,1
2024-07-12 20:49:09.802999973,0
2024-07-12 20:44:09.789999962,1
2024-07-12 20:39:09.786999941,1
2024-07-12 20:34:09.779999971,1
2024-07-12 20:29:09.773999929,1
2024-07-12 20:24:09.769999981,1
2024-07-12 20:19:09.763999939,1
2024-07-12 20:14:09.759999990,1
2024-07-12 20:09:09.755000114,1
2024-07-12 20:04:09.746999979,1
2024-07-12 19:59:09.742000103,1
2024-07-12 19:54:09.736999989,1
2024-07-12 19:49:09.726999998,1
2024-07-12 19:44:09.723000050,0
2024-07-12 19:39:09.717000008,1
2024-07-12 19:34:09.710000038,1
2024-07-12 19:29:09.707999945,1
2024-07-12 19:24:09.694000006,1
2024-07-12 19:19:09.688999891,1
2024-07-12 19:14:09.680000067,0
2024-07-12 19:09:09.673000097,0
2024-07-12 19:04:09.668999910,0
2024-07-12 18:59:09.654999971,0
2024-07-12 18:54:09.648999929,1
2024-07-12 18:49:09.635999918,1
2024-07-12 18:44:09.631000042,0
2024-07-12 18:39:09.618000031,1
2024-07-12 18:34:09.611999989,1
2024-07-12 18:29:09.598999977,1
2024-07-12 18:24:09.592999935,1
2024-07-12 18:19:09.588000059,1
2024-07-12 18:14:09.584000111,1
2024-07-12 18:09:09.579999924,1
2024-07-12 18:04:09.582999945,1
2024-07-12 17:59:09.569000006,1
2024-07-12 17:54:09.562999964,1
2024-07-12 17:49:09.558000088,1
2024-07-12 17:44:09.552999973,1
2024-07-12 17:39:09.540999889,0
2024-07-12 17:34:09.536999941,1
2024-07-12 17:29:09.530999899,1
2024-07-12 17:24:09.526000023,1
2024-07-12 17:19:09.523000001,1
2024-07-12 17:14:09.517999887,1
2024-07-12 17:09:09.503999949,1
2024-07-12 17:04:09.499000072,1
2024-07-12 16:59:09.502000093,1
2024-07-12 16:54:09.482000113,1
2024-07-12 16:49:09.469000101,1
2024-07-12 16:44:09.463000059,1
2024-07-12 16:39:09.457999945,1
2024-07-12 16:34:09.451999903,1
2024-07-12 16:29:09.438999891,1
2024-07-12 16:24:09.431999922,1
2024-07-12 16:19:09.417999983,0
2024-07-12 16:14:09.411999941,0
2024-07-12 16:09:09.407999992,0
2024-07-12 16:04:09.403000116,0
2024-07-12 15:59:09.397000074,0
2024-07-12 15:54:09.384000063,0
2024-07-12 15:49:09.375000000,0
2024-07-12 15:44:09.365999937,0
2024-07-12 15:39:09.361000061,0
2024-07-12 15:34:09.348000050,0
2024-07-12 15:29:09.336999893,0
2024-07-12 15:24:09.378000021,0
2024-07-12 15:19:09.316999912,0
2024-07-12 15:14:09.305000067,0
2024-07-12 15:09:09.296999931,0
2024-07-12 15:04:09.290999889,0
2024-07-12 14:59:09.285000086,0
2024-07-12 14:54:09.272000074,0
2024-07-12 14:49:09.266000032,0
2024-07-12 14:44:09.319999933,0
2024-07-12 14:39:09.247999907,0
2024-07-12 14:34:09.236999989,0
2024-07-12 14:29:09.279000044,0
