@relation 'MLC'

@attribute F1_VAR_on_ACC_X numeric
@attribute F2_VAR_on_ACC_Y numeric
@attribute F3_VAR_on_ACC_Z numeric
@attribute class {idle, shake}

@data
0, 1.37091e-06, 0, shake
0, 1.78814e-06, 0, shake
0, 2.92063e-06, 0, shake
0, 2.32458e-06, 0, shake
0, 1.01328e-06, 0, shake
0, 2.86102e-06, 0, shake
0, 2.38419e-06, 0, shake
0, 8.9407e-07, 0, shake
0, 3.57628e-07, 0, shake
0, 5.96046e-08, 0, shake
0, 1.78814e-07, 0, shake
0, 7.15256e-07, 0, shake
0, 2.44379e-06, 0, shake
0, 5.00679e-06, 0, shake
0, 7.27177e-06, 0, shake
0, 1.13845e-05, 0, shake
0, 1.07288e-05, 0, shake
0, 1.15037e-05, 0, shake
1.90735e-06, 9.59635e-06, 0, shake
9.53674e-07, 1.16229e-05, 0, shake
0, 1.24574e-05, 0, shake
2.86102e-06, 1.04904e-05, 0, shake
1.90735e-06, 1.32322e-05, 0, shake
0, 8.82149e-06, 0, shake
2.86102e-06, 1.4782e-05, 0, shake
9.53674e-07, 3.15905e-06, 0, shake
3.8147e-06, 2.06828e-05, 0, shake
1.90735e-06, 2.34842e-05, 0, shake
0, 7.86781e-06, 0, shake
0, 1.14441e-05, 0, shake
0, 1.16825e-05, 0, shake
0, 8.64267e-06, 0, shake
1.90735e-06, 9.71556e-06, 0, shake
0, 4.29153e-06, 0, shake
0, 6.73532e-06, 0, shake
3.8147e-06, 1.01924e-05, 0, shake
9.53674e-07, 1.41859e-05, 0, shake
0, 9.11951e-06, 0, shake
9.53674e-07, 1.14441e-05, 0, shake
3.8147e-06, 1.3411e-05, 0, shake
9.53674e-07, 1.06096e-05, 0.000488281, shake
2.86102e-06, 1.06096e-05, 0, shake
9.53674e-07, 1.055e-05, 0, shake
0, 1.26958e-05, 0, shake
2.86102e-06, 1.15037e-05, 0, shake
0, 1.42455e-05, 0, shake
0, 9.95398e-06, 0, shake
1.90735e-06, 8.58307e-06, 0, shake
0, 7.92742e-06, 0, shake
0, 8.16584e-06, 0.000488281, shake
0, 8.46386e-06, 0, shake
0, 7.15256e-06, 0, shake
0, 7.7486e-06, 0, shake
9.53674e-07, 6.79493e-06, 0, shake
0, 4.94719e-06, 0, shake
0, 5.54323e-06, 0, shake
0, 5.72205e-06, 0, shake
0, 5.24521e-06, 0, shake
0, 5.42402e-06, 0, shake
0, 4.47035e-06, 0, shake
9.53674e-07, 4.76837e-06, 0, shake
0, 4.94719e-06, 0, shake
0, 5.72205e-06, 0, shake
0, 4.82798e-06, 0, shake
9.53674e-07, 5.00679e-06, 0, shake
9.53674e-07, 5.06639e-06, 0, shake
0, 4.41074e-06, 0.000488281, shake
9.53674e-07, 4.05312e-06, 0, shake
0, 3.21865e-06, 0, shake
1.90735e-06, 5.00679e-06, 0, shake
9.53674e-07, 4.29153e-06, 0, shake
0, 4.29153e-06, 0, shake
0, 4.82798e-06, 0, shake
0, 2.02656e-06, 0, shake
0, 2.32458e-06, 0, shake
9.53674e-07, 1.78814e-06, 0, shake
0, 1.90735e-06, 0, shake
0, 2.68221e-06, 0, shake
1.90735e-06, 2.74181e-06, 0, shake
0, 4.76837e-07, 0, shake
0, 1.78814e-07, 0, shake
0, 1.78814e-07, 0, shake
0, 1.78814e-07, 0, shake
0, 0, 0, shake
0, 5.96046e-08, 0, shake
0, 5.96046e-08, 0, shake
0, 5.96046e-08, 0, shake
0, 2.98023e-07, 0, shake
0, 1.19209e-07, 0, shake
0, 8.34465e-07, 0, shake
0, 1.19209e-06, 0, shake
9.53674e-07, 1.01328e-06, 0, shake
0, 1.84774e-06, 0, shake
0, 1.66893e-06, 0, shake
0, 1.78814e-06, 0, shake
0, 1.19209e-06, 0, shake
0, 2.563e-06, 0, shake
0, 2.38419e-06, 0, shake
0, 2.14577e-06, 0, shake
0, 2.08616e-06, 0, shake
0, 2.563e-06, 0, shake
0, 2.74181e-06, 0, shake
0, 2.68221e-06, 0, shake
0, 2.08616e-06, 0, shake
0, 2.98023e-06, 0, shake
0, 1.43051e-06, 0, shake
0, 1.90735e-06, 0, shake
0, 1.78814e-06, 0, shake
0, 1.60933e-06, 0, shake
0, 1.90735e-06, 0, shake
0, 4.76837e-07, 0, shake
0, 9.53674e-07, 0, shake
0, 1.19209e-07, 0, shake
0, 2.98023e-07, 0, shake
0, 1.60933e-06, 0, shake
0, 3.63588e-06, 0, shake
9.53674e-07, 5.90086e-06, 0, shake
0, 9.35793e-06, 0, shake
0, 7.7486e-06, 0, shake
0, 5.30481e-06, 0, shake
0, 1.17421e-05, 0.000488281, shake
0, 1.20401e-05, 0, shake
1.90735e-06, 1.06692e-05, 0, shake
0, 1.23382e-05, 0, shake
0, 7.80821e-06, 0, shake
2.86102e-06, 9.95398e-06, 0, shake
0, 1.20997e-05, 0, shake
3.8147e-06, 9.65595e-06, 0, shake
0, 1.30534e-05, 0, shake
0, 7.7486e-06, 0, shake
1.90735e-06, 1.23978e-05, 0, shake
2.86102e-06, 9.41753e-06, 0, shake
0, 1.09076e-05, 0, shake
0, 1.00136e-05, 0, shake
1.90735e-06, 1.23978e-05, 0, shake
2.86102e-06, 1.69873e-05, 0, shake
0, 1.00732e-05, 0, shake
0, 9.41753e-06, 0, shake
0, 9.05991e-06, 0, shake
0, 6.91414e-06, 0, shake
0, 4.88758e-06, 0, shake
1.90735e-06, 3.51667e-06, 0, shake
0, 5.78165e-06, 0, shake
0, 5.60284e-06, 0, shake
9.53674e-07, 4.70877e-06, 0, shake
0, 4.35114e-06, 0, shake
0, 4.05312e-06, 0, shake
1.90735e-06, 3.75509e-06, 0, shake
0, 4.41074e-06, 0, shake
0, 4.05312e-06, 0, shake
0, 4.35114e-06, 0.000488281, shake
0, 6.07967e-06, 0, shake
0, 4.41074e-06, 0.000488281, shake
9.53674e-07, 5.72205e-06, 0, shake
0, 4.47035e-06, 0.000488281, shake
0, 4.05312e-06, 0, shake
0, 4.64916e-06, 0, shake
0, 3.39746e-06, 0, shake
0, 3.03984e-06, 0, shake
0, 3.21865e-06, 0, shake
