@relation 'MLC'

@attribute F1_ABS_VAR_on_ACC_X numeric
@attribute F2_ABS_VAR_on_ACC_Y numeric
@attribute class {idle, shake}

@data
0.000536442, 0.000424623, shake
0.002388, 0.000869751, shake
0.00139427, 0.00377083, shake
0.000959396, 0.0027504, shake
0.000206232, 0.00142479, shake
8.67844e-05, 0.00153923, shake
0.000125408, 0.00186157, shake
6.58035e-05, 0.00329781, shake
0.000107288, 0.0011816, shake
0.000226498, 0.00404358, shake
0.000414371, 0.00372124, shake
0.000385284, 0.00724411, shake
0.000496387, 0.00198364, shake
1.16825e-05, 0.00139236, shake
0.000355005, 0.00197983, shake
0.000299692, 0.00504684, shake
0.00336266, 0.0379333, shake
0.00266266, 0.0337524, shake
5.91278e-05, 0.00263214, shake
0.000899792, 0.00399399, shake
0.000722408, 0.00400925, shake
0.000284195, 0.0043335, shake
6.74725e-05, 0.00108528, shake
0.00128174, 0.022522, shake
0.000313759, 0.0069046, shake
0.000386953, 0.00699997, shake
0.000289679, 0.0100937, shake
0.00117111, 0.00391006, shake
0.000442266, 0.0045929, shake
0.000224113, 0.00370407, shake
3.57628e-05, 0.0038414, shake
0.000275373, 0.00484467, shake
0.000154257, 0.00753403, shake
0.000261784, 0.00796509, shake
0.00028348, 0.00376892, shake
0.000463963, 0.00653839, shake
0.000322104, 0.00514603, shake
0.000247002, 0.00743103, shake
0.000243664, 0.0091095, shake
0.000665188, 0.0131989, shake
0.000186443, 0.00526047, shake
0.000260115, 0.00846863, shake
0.000555515, 0.0129929, shake
0.000412464, 0.00665283, shake
0.000219345, 0.00814056, shake
0.000437498, 0.00653458, shake
0.000122547, 0.00337791, shake
0.000835419, 0.00765991, shake
0.000217676, 0.00426102, shake
0.000119209, 0.00267601, shake
0.000244856, 0.00828552, shake
0.000803947, 0.0166779, shake
0.000284672, 0.0045929, shake
0.000293732, 0.00724792, shake
0.000462294, 0.00694275, shake
0.000133991, 0.00440979, shake
0.000392914, 0.00811768, shake
0.000338554, 0.00359917, shake
0.000540733, 0.00895691, shake
0.000370026, 0.00776291, shake
0.000202179, 0.00403214, shake
0.000115871, 0.00338936, shake
3.02792e-05, 0.00140762, shake
1.16825e-05, 0.00137138, shake
2.47955e-05, 0.000944614, shake
0.000116348, 0.00153065, shake
3.86238e-05, 0.00192165, shake
0.000394821, 0.00672531, shake
0.000715733, 0.0119095, shake
8.67844e-05, 0.0036602, shake
0.000170469, 0.00544357, shake
8.15392e-05, 0.0023613, shake
0.000119209, 0.00442886, shake
8.03471e-05, 0.00287628, shake
3.0756e-05, 0.0010643, shake
0.000111103, 0.00269699, shake
5.65052e-05, 0.00206947, shake
5.34058e-05, 0.00206566, shake
2.12193e-05, 0.00136185, shake
5.00679e-05, 0.00218964, shake
0.000164032, 0.00505829, shake
3.45707e-05, 0.00149632, shake
2.02656e-05, 0.00245857, shake
0.00012064, 0.00297928, shake
9.48906e-05, 0.00133514, shake
8.15392e-05, 0.00222206, shake
4.673e-05, 0.00492096, shake
9.10759e-05, 0.00828552, shake
2.90871e-05, 0.00321579, shake
6.19888e-05, 0.00356102, shake
5.38826e-05, 0.00333595, shake
2.5034e-05, 0.00209808, shake
0.000103474, 0.00463486, shake
0.000230789, 0.00524139, shake
5.79357e-05, 0.00282669, shake
0.000285149, 0.00658035, shake
7.60555e-05, 0.0071907, shake
0.000178814, 0.00740051, shake
1.74046e-05, 0.00172329, shake
2.98023e-05, 0.00341415, shake
4.17233e-05, 0.00439453, shake
3.19481e-05, 0.00541306, shake
1.81198e-05, 0.00203896, shake
6.69956e-05, 0.00287819, shake
5.00679e-05, 0.00168896, shake
4.26769e-05, 0.00242805, shake
4.05312e-05, 0.00220871, shake
1.62125e-05, 0.00275803, shake
3.8147e-05, 0.00192547, shake
4.52995e-06, 0.000917435, shake
1.90735e-05, 0.00215149, shake
2.43187e-05, 0.00127316, shake
4.76837e-06, 0.000717163, shake
3.29018e-05, 0.00175381, shake
2.38419e-05, 0.00361443, shake
5.126e-05, 0.00271225, shake
1.00136e-05, 0.000913143, shake
6.46114e-05, 0.00236702, shake
5.65052e-05, 0.0023365, shake
8.34465e-06, 0.00202942, shake
4.62532e-05, 0.00442123, shake
7.67708e-05, 0.00314331, shake
0.000118017, 0.0051384, shake
9.48906e-05, 0.00400162, shake
2.3365e-05, 0.0023365, shake
9.58443e-05, 0.00145054, shake
1.88351e-05, 0.00143433, shake
5.84126e-05, 0.00197601, shake
0.000128746, 0.00172329, shake
3.00407e-05, 0.00138569, shake
8.7738e-05, 0.00181007, shake
9.53674e-06, 0.00106525, shake
6.60419e-05, 0.00286484, shake
2.5034e-05, 0.00154114, shake
0.000103951, 0.0052948, shake
4.8399e-05, 0.0021534, shake
0.000671864, 0.000355482, shake
0.00264549, 0.00263596, shake
1.09673e-05, 0.000309944, shake
